Manuscript_number,DOI,funder,name,fundref
es-2022-07897a,10.1021/acs.est.2c07897,grid.9227.e,Chinese Academy of Sciences,501100002367
es-2022-07897a,10.1021/acs.est.2c07897,grid.424020.0,Ministry of Science and Technology of the People's Republic of China,501100002855
es-2022-07899g,10.1021/acs.est.2c07899,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-07933k,10.1021/acs.est.2c07933,grid.453034.5,China Postdoctoral Science Foundation,501100002858
es-2022-07933k,10.1021/acs.est.2c07933,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-07936b,10.1021/acs.est.2c07936,grid.452963.f,Office of Biological and Environmental Research,
es-2022-079372,,,,
es-2022-07938h,,,,
es-2022-07948q,10.1021/acs.est.2c07948,grid.280664.e,National Institute of Environmental Health Sciences,
es-2022-079586,10.1021/acs.est.2c07958,grid.453499.6,Chinese Academy of Tropical Agricultural Sciences,
es-2022-079586,10.1021/acs.est.2c07958,grid.418524.e,Ministry of Agriculture and Rural Affairs,
es-2022-079586,10.1021/acs.est.2c07958,grid.424020.0,Ministry of Science and Technology of the People's Republic of China,501100002855
es-2022-07962w,,,,
es-2022-07968s,10.1021/acs.est.2c07968,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-07968s,10.1021/acs.est.2c07968,grid.453034.5,China Postdoctoral Science Foundation,501100002858
es-2022-07969p,,,,
es-2022-07976x,10.1021/acs.est.2c07976,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-07976x,10.1021/acs.est.2c07976,grid.424020.0,Ministry of Science and Technology of the People's Republic of China,501100002855
es-2022-07991a,10.1021/acs.est.2c07991,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-07991a,10.1021/acs.est.2c07991,grid.453547.4,Jiangsu Provincial Department of Education,501100007166
es-2022-08002e,,,,
es-2022-08003x,,,,
es-2022-08004c,10.1021/acs.est.2c08004,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-08008a,,,,
es-2022-080093,10.1021/acs.est.2c08009,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-080109,,,,
es-2022-08024b,,,,
es-2022-080252,,,,
es-2022-08028d,,,,
es-2022-08036q,,,,
es-2022-08052r,10.1021/acs.est.2c08052,,,
es-2022-08056s,,,,
es-2022-08057p,,,,
es-2022-08059x,10.1021/acs.est.2c08059,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-08061s,10.1021/acs.est.2c08061,grid.424020.0,Ministry of Science and Technology of the People's Republic of China,501100002855
es-2022-08061s,10.1021/acs.est.2c08061,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-08064x,10.1021/acs.est.2c08064,grid.9227.e,Chinese Academy of Sciences,501100002367
es-2022-08064x,10.1021/acs.est.2c08064,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-08076g,10.1021/acs.est.2c08076,grid.452948.6,University Grants Committee,501100001839
es-2022-08094d,,,,
es-2022-081017,,,,
es-2022-081092,10.1021/acs.est.2c08109,grid.452956.9,Ministry of Education,
es-2022-081092,10.1021/acs.est.2c08109,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-08110k,10.1021/acs.est.2c08110,grid.424020.0,Ministry of Science and Technology of the People's Republic of China,501100002855
es-2022-08110k,10.1021/acs.est.2c08110,grid.452948.6,University Grants Committee,501100001839
es-2022-081164,10.1021/acs.est.2c08116,,,
es-2022-08119y,10.1021/acs.est.2c08119,,,
es-2022-081214,10.1021/acs.est.2c08121,grid.420090.f,National Institute on Drug Abuse,
es-2022-081214,10.1021/acs.est.2c08121,grid.280664.e,National Institute of Environmental Health Sciences,
es-2022-08123n,,,,
es-2022-08131m,,,,
es-2022-08141r,10.1021/acs.est.2c08141,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-08151p,10.1021/acs.est.2c08151,,,
es-2022-081559,10.1021/acs.est.2c08155,,,
es-2022-081609,,,,
es-2022-08171k,10.1021/acs.est.2c08171,grid.452941.f,China Scholarship Council,501100004543
es-2022-08171k,10.1021/acs.est.2c08171,grid.436415.1,National Research Foundation of Korea,501100003725
es-2022-08171k,10.1021/acs.est.2c08171,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-08171k,10.1021/acs.est.2c08171,grid.453230.3,Korea Environmental Industry and Technology Institute,
es-2022-08179n,10.1021/acs.est.2c08179,grid.418741.f,Institute of High Energy Physics,501100002856
es-2022-08179n,10.1021/acs.est.2c08179,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-081824,,,,
es-2022-08188v,10.1021/acs.est.2c08188,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-082054,10.1021/acs.est.2c08205,grid.452948.6,University Grants Committee,501100001839
es-2022-082054,10.1021/acs.est.2c08205,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-082054,10.1021/acs.est.2c08205,grid.478957.0,Environment and Conservation Fund,
es-2022-082054,10.1021/acs.est.2c08205,grid.424020.0,Ministry of Science and Technology of the People's Republic of China,501100002855
es-2022-082054,10.1021/acs.est.2c08205,grid.418698.a,Environmental Protection Agency,100000139
es-2022-08209q,,,,
es-2022-08213y,10.1021/acs.est.2c08213,,,
es-2022-08216v,,,,
es-2022-08220m,,,,
es-2022-08231j,10.1021/acs.est.2c08231,grid.270680.b,European Commission,501100000780
es-2022-08234s,10.1021/acs.est.2c08234,,,
es-2022-08236e,,,,
es-2022-082399,10.1021/acs.est.2c08239,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-082399,10.1021/acs.est.2c08239,grid.424020.0,Ministry of Science and Technology of the People's Republic of China,501100002855
es-2022-082449,,,,
es-2022-082455,10.1021/acs.est.2c08245,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-082467,,,,
es-2022-08247a,10.1021/acs.est.2c08247,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-08257f,10.1021/acs.est.2c08257,grid.426409.d,Scientific and Technological Research Council of Turkey,
es-2022-08257f,10.1021/acs.est.2c08257,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-08257f,10.1021/acs.est.2c08257,grid.453034.5,China Postdoctoral Science Foundation,501100002858
es-2022-08257f,10.1021/acs.est.2c08257,grid.9227.e,Chinese Academy of Sciences,501100002367
es-2022-08257f,10.1021/acs.est.2c08257,grid.453197.d,Youth Innovation Promotion Association,
es-2022-08260k,,,,
es-2022-08261t,,,,
es-2022-082664,,,,
es-2022-08283z,10.1021/acs.est.2c08283,grid.436103.3,Ministry of Education Youth and Sports,
es-2022-08306z,10.1021/acs.est.2c08306,,,
es-2022-08309r,,,,
es-2022-083136,,,,
es-2022-08315j,,,,
es-2022-08318s,10.1021/acs.est.2c08318,grid.418698.a,Environmental Protection Agency,100000139
es-2022-08326x,10.1021/acs.est.2c08326,grid.424020.0,Ministry of Science and Technology of the People's Republic of China,501100002855
es-2022-08326x,10.1021/acs.est.2c08326,grid.419897.a,Ministry of Education of the People's Republic of China,501100002338
es-2022-08326x,10.1021/acs.est.2c08326,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-083345,,,,
es-2022-083482,10.1021/acs.est.2c08348,,,
es-2022-083532,,,,
es-2022-08354h,10.1021/acs.est.2c08354,grid.452896.4,European Research Council,
es-2022-08354h,10.1021/acs.est.2c08354,grid.473761.0,Office of the Secretary of Defense,
es-2022-08354h,10.1021/acs.est.2c08354,grid.418698.a,Environmental Protection Agency,100000139
es-2022-08364q,,,,
es-2022-08379s,10.1021/acs.est.2c08379,grid.424020.0,Ministry of Science and Technology of the People's Republic of China,501100002855
es-2022-08379s,10.1021/acs.est.2c08379,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-08379s,10.1021/acs.est.2c08379,grid.452948.6,University Grants Committee,501100001839
es-2022-08384s,10.1021/acs.est.2c08384,,,
es-2022-08390p,,,,
es-2022-083955,10.1021/acs.est.2c08395,grid.410727.7,Chinese Academy of Agricultural Sciences,
es-2022-083955,10.1021/acs.est.2c08395,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-08404j,10.1021/acs.est.2c08404,,,
es-2022-08409e,,,,
es-2022-08413p,,,,
es-2022-08427g,,,,
es-2022-08446n,,,,
es-2022-08450d,10.1021/acs.est.2c08450,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-08453q,,,,
es-2022-084636,10.1021/acs.est.2c08463,grid.452912.9,Natural Sciences and Engineering Research Council,501100000038
es-2022-084636,10.1021/acs.est.2c08463,grid.453011.2,Canada Research Chairs,
es-2022-084636,10.1021/acs.est.2c08463,grid.451254.3,Government of Canada,
es-2022-08467u,10.1021/acs.est.2c08467,,,
es-2022-08468s,10.1021/acs.est.2c08468,grid.54432.34,Japan Society for the Promotion of Science,
es-2022-08468s,10.1021/acs.est.2c08468,grid.452903.9,"Ministry of Education, Culture, Sports, Science and Technology",
es-2022-08468s,10.1021/acs.est.2c08468,grid.453509.e,Ministry of the Environment,
es-2022-08470j,,,,
es-2022-08472u,,,,
es-2022-08482c,10.1021/acs.est.2c08482,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-084845,,,,
es-2022-08494k,,,,
es-2022-08503e,,,,
es-2022-085125,,,,
es-2022-085137,10.1021/acs.est.2c08513,,,
es-2022-085203,10.1021/acs.est.2c08520,grid.54432.34,Japan Society for the Promotion of Science,
es-2022-08524f,10.1021/acs.est.2c08524,grid.453018.b,Science and Engineering Research Board,
es-2022-08524f,10.1021/acs.est.2c08524,grid.453387.e,Ministry of Human Resource Development,
es-2022-085284,,,,
es-2022-08530b,,,,
es-2022-085334,,,,
es-2022-08535n,,,,
es-2022-08536y,,,,
es-2022-08541y,10.1021/acs.est.2c08541,grid.9227.e,Chinese Academy of Sciences,501100002367
es-2022-08541y,10.1021/acs.est.2c08541,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-08542q,,,,
es-2022-08548r,10.1021/acs.est.2c08548,grid.427509.d,California Natural Resources Agency,100007782
es-2022-08548r,10.1021/acs.est.2c08548,grid.413404.6,Agency for Healthcare Research and Quality,100000133
es-2022-08548r,10.1021/acs.est.2c08548,grid.2865.9,United States Geological Survey,
es-2022-08548r,10.1021/acs.est.2c08548,grid.280664.e,National Institute of Environmental Health Sciences,
es-2022-08549j,,,,
es-2022-08550z,,,,
es-2022-08558p,,,,
es-2022-08559e,,,,
es-2022-085608,,,,
es-2022-08561u,,,,
es-2022-08570x,10.1021/acs.est.2c08570,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-08571c,,,,
es-2022-085763,,,,
es-2022-08577g,10.1021/acs.est.2c08577,grid.424020.0,Ministry of Science and Technology of the People's Republic of China,501100002855
es-2022-08577g,10.1021/acs.est.2c08577,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-085813,10.1021/acs.est.2c08581,,,
es-2022-08583k,10.1021/acs.est.2c08583,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-08593h,,,,
es-2022-08608f,10.1021/acs.est.2c08608,grid.9227.e,Chinese Academy of Sciences,501100002367
es-2022-08608f,10.1021/acs.est.2c08608,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-08608f,10.1021/acs.est.2c08608,grid.453197.d,Youth Innovation Promotion Association,
es-2022-08609b,,,,
es-2022-08614b,,,,
es-2022-086152,,,,
es-2022-086174,,,,
es-2022-08619n,,,,
es-2022-086224,,,,
es-2022-08627m,,,,
es-2022-08628v,,,,
es-2022-08632m,10.1021/acs.est.2c08632,,,
es-2022-08633v,,,,
es-2022-086366,,,,
es-2022-08638j,,,,
es-2022-08640w,,,,
es-2022-08646s,,,,
es-2022-08652p,,,,
es-2022-08653e,,,,
es-2022-08654x,,,,
es-2022-08655c,10.1021/acs.est.2c08655,grid.457810.f,Directorate for Engineering,
es-2022-086637,,,,
es-2022-08666g,,,,
es-2022-086703,,,,
es-2022-08672k,,,,
es-2022-086762,,,,
es-2022-08680b,,,,
es-2022-086834,,,,
es-2022-08684d,,,,
es-2022-08685n,,,,
es-2022-08686y,,,,
es-2022-08687q,,,,
es-2022-08688m,,,,
es-2022-08689v,,,,
es-2022-08690n,,,,
es-2022-08691y,,,,
es-2022-08692q,,,,
es-2022-08693m,,,,
es-2022-08694v,,,,
es-2022-08695z,,,,
es-2022-08696w,,,,
es-2022-086976,,,,
es-2022-08698r,,,,
es-2022-08699j,,,,
es-2022-08700k,,,,
es-2022-08701t,,,,
es-2022-08702f,,,,
es-2022-08703b,,,,
es-2022-08705h,,,,
es-2022-087064,,,,
es-2022-08707d,10.1021/acs.est.2c08707,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-08707d,10.1021/acs.est.2c08707,grid.9227.e,Chinese Academy of Sciences,501100002367
es-2022-08707d,10.1021/acs.est.2c08707,grid.424020.0,Ministry of Science and Technology of the People's Republic of China,501100002855
es-2022-08708n,,,,
es-2022-08709y,,,,
es-2022-08710h,,,,
es-2022-087114,,,,
es-2022-08714y,,,,
es-2022-08715q,,,,
es-2022-08716m,,,,
es-2022-08718z,,,,
es-2022-08719w,,,,
es-2022-08720q,,,,
es-2022-08721m,,,,
es-2022-08722v,,,,
es-2022-08723z,,,,
es-2022-08724w,,,,
es-2022-087256,,,,
es-2022-08726r,,,,
es-2022-08729u,,,,
es-2022-087306,,,,
es-2022-08731r,10.1021/acs.est.2c08731,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-08732j,,,,
es-2022-087338,,,,
es-2022-08734u,,,,
es-2022-08735s,,,,
es-2022-08736p,,,,
es-2022-08737e,,,,
es-2022-08738x,,,,
es-2022-08739c,,,,
es-2022-08740s,,,,
es-2022-08741p,,,,
es-2022-08742e,,,,
es-2022-08743x,,,,
es-2022-08744c,,,,
es-2022-087459,,,,
es-2022-087465,,,,
es-2022-087477,10.1021/acs.est.2c08747,,,
es-2022-08748a,,,,
es-2022-087493,,,,
es-2022-087515,,,,
es-2022-087527,,,,
es-2022-08753a,,,,
es-2022-087543,,,,
es-2022-08755g,,,,
es-2022-08756k,,,,
es-2022-08757t,10.1021/acs.est.2c08757,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-08759b,,,,
es-2022-08760g,,,,
es-2022-08761k,,,,
es-2022-08762t,,,,
es-2022-08764b,10.1021/acs.est.2c08764,,,
es-2022-087652,,,,
es-2022-08766h,10.1021/acs.est.2c08766,,,
es-2022-087674,10.1021/acs.est.2c08767,grid.54432.34,Japan Society for the Promotion of Science,
es-2022-08768d,,,,
es-2022-08769n,,,,
es-2022-087702,10.1021/acs.est.2c08770,,,
es-2022-08771h,,,,
es-2022-087724,,,,
es-2022-08773d,,,,
es-2022-08775y,,,,
es-2022-08776q,,,,
es-2022-08777m,,,,
es-2022-08778v,,,,
es-2022-08779z,,,,
es-2022-08780y,,,,
es-2022-08781q,,,,
es-2022-08782m,,,,
es-2022-08783v,,,,
es-2022-08784z,,,,
es-2022-08785w,,,,
es-2022-087866,,,,
es-2022-08787r,,,,
es-2022-08788j,,,,
es-2022-087898,,,,
es-2022-08790w,,,,
es-2022-087916,,,,
es-2022-08793j,,,,
es-2022-087948,,,,
es-2022-08795u,,,,
es-2022-08796s,,,,
es-2022-08797p,,,,
es-2022-08798e,,,,
es-2022-08799x,,,,
es-2022-088004,,,,
es-2022-08801d,,,,
es-2022-08802n,,,,
es-2022-08804q,,,,
es-2022-08805m,,,,
es-2022-08806v,10.1021/acs.est.2c08806,,,
es-2022-08807z,,,,
es-2022-08808w,,,,
es-2022-088096,,,,
es-2022-08810m,,,,
es-2022-08811v,,,,
es-2022-08812z,,,,
es-2022-08813w,,,,
es-2022-088146,,,,
es-2022-08815r,,,,
es-2022-08816j,10.1021/acs.est.2c08816,,,
es-2022-088178,,,,
es-2022-08818u,10.1021/acs.est.2c08818,grid.453230.3,Korea Environmental Industry and Technology Institute,
es-2022-08818u,10.1021/acs.est.2c08818,grid.436415.1,National Research Foundation of Korea,501100003725
es-2022-08818u,10.1021/acs.est.2c08818,grid.420488.2,Dutch Research Council,501100003246
es-2022-08819s,,,,
es-2022-08820r,,,,
es-2022-08821j,,,,
es-2022-088228,,,,
es-2022-08823u,,,,
es-2022-08824s,,,,
es-2022-08825p,,,,
es-2022-08826e,,,,
es-2022-08827x,,,,
es-2022-08828c,,,,
es-2022-088299,,,,
es-2022-08830p,,,,
es-2022-08831e,,,,
es-2022-08832x,,,,
es-2022-08833c,10.1021/acs.est.2c08833,grid.424020.0,Ministry of Science and Technology of the People's Republic of China,501100002855
es-2022-08833c,10.1021/acs.est.2c08833,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-088349,,,,
es-2022-088355,10.1021/acs.est.2c08835,,,
es-2022-088367,10.1021/acs.est.2c08836,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-088367,10.1021/acs.est.2c08836,grid.457810.f,Directorate for Engineering,
es-2022-088367,10.1021/acs.est.2c08836,grid.452896.4,European Research Council,
es-2022-08837a,,,,
es-2022-088383,,,,
es-2022-08839g,,,,
es-2022-088405,,,,
es-2022-088417,,,,
es-2022-08842a,,,,
es-2022-088433,,,,
es-2022-08844g,,,,
es-2022-08845k,,,,
es-2022-08846t,,,,
es-2022-08847f,,,,
es-2022-08848b,,,,
es-2022-088492,,,,
es-2022-08850k,,,,
es-2022-08851t,,,,
es-2022-08852f,,,,
es-2022-08853b,,,,
es-2022-088542,,,,
es-2022-08855h,10.1021/acs.est.2c08855,grid.9227.e,Chinese Academy of Sciences,501100002367
es-2022-08855h,10.1021/acs.est.2c08855,grid.453197.d,Youth Innovation Promotion Association,
es-2022-08855h,10.1021/acs.est.2c08855,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-088564,,,,
es-2022-08857d,,,,
es-2022-08858n,,,,
es-2022-08859y,,,,
es-2022-08860h,,,,
es-2022-088614,,,,
es-2022-08862d,,,,
es-2022-08863n,,,,
es-2022-08864y,,,,
es-2022-08865q,,,,
es-2022-08866m,,,,
es-2022-08867v,,,,
es-2022-08868z,,,,
es-2022-08869w,,,,
es-2022-08871m,,,,
es-2022-08872v,,,,
es-2022-08874w,,,,
es-2022-088756,,,,
es-2022-08876r,10.1021/acs.est.2c08876,grid.9227.e,Chinese Academy of Sciences,501100002367
es-2022-08876r,10.1021/acs.est.2c08876,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-08877j,,,,
es-2022-088788,,,,
es-2022-08879u,,,,
es-2022-088806,,,,
es-2022-08882j,,,,
es-2022-088838,,,,
es-2022-08884u,,,,
es-2022-08885s,,,,
es-2022-08886p,,,,
es-2022-08888x,,,,
es-2022-08889c,10.1021/acs.est.2c08889,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-08889c,10.1021/acs.est.2c08889,grid.424020.0,Ministry of Science and Technology of the People's Republic of China,501100002855
es-2022-08889c,10.1021/acs.est.2c08889,grid.270680.b,European Commission,501100000780
es-2022-08890s,,,,
es-2022-08891p,10.1021/acs.est.2c08891,grid.423966.c,Danish Ministry of Environment and Food,
es-2022-08892e,,,,
es-2022-08893x,10.1021/acs.est.2c08893,grid.22058.3d,Agence Nationale de la Recherche,501100001665
es-2022-08893x,10.1021/acs.est.2c08893,grid.4444.0,French National Centre for Scientific Research,
es-2022-08893x,10.1021/acs.est.2c08893,grid.425729.f,Ministry of Higher Education and Research,501100004792
es-2022-08893x,10.1021/acs.est.2c08893,grid.436846.b,National Science Center,501100004281
es-2022-08893x,10.1021/acs.est.2c08893,grid.270680.b,European Commission,501100000780
es-2022-08893x,10.1021/acs.est.2c08893,grid.434890.2,Institut Polaire Français Paul Émile Victor,
es-2022-08894c,,,,
es-2022-088959,,,,
es-2022-088965,,,,
es-2022-08898a,,,,
es-2022-088993,,,,
es-2022-08900v,,,,
es-2022-08901z,,,,
es-2022-08902w,,,,
es-2022-089036,,,,
es-2022-08904r,,,,
es-2022-08905j,,,,
es-2022-089068,,,,
es-2022-08907u,,,,
es-2022-08908s,,,,
es-2022-08909p,,,,
es-2022-08910j,,,,
es-2022-089118,,,,
es-2022-08912u,,,,
es-2022-08913s,,,,
es-2022-08914p,,,,
es-2022-08915e,,,,
es-2022-08916x,,,,
es-2022-08917c,,,,
es-2022-089189,,,,
es-2022-089195,,,,
es-2022-08920e,10.1021/acs.est.2c08920,,,
es-2022-08921x,10.1021/acs.est.2c08921,,,
es-2022-08922c,,,,
es-2022-089239,,,,
es-2022-089245,,,,
es-2022-089257,,,,
es-2022-08926a,,,,
es-2022-089273,,,,
es-2022-08928g,,,,
es-2022-08929k,,,,
es-2022-089307,,,,
es-2022-08931a,10.1021/acs.est.2c08931,,,
es-2022-089323,,,,
es-2022-08933g,,,,
es-2022-08934k,,,,
es-2022-08935t,,,,
es-2022-08936f,,,,
es-2022-089382,,,,
es-2022-08939h,10.1021/acs.est.2c08939,grid.54432.34,Japan Society for the Promotion of Science,
es-2022-08939h,10.1021/acs.est.2c08939,grid.7597.c,RIKEN,501100006264
es-2022-08940t,,,,
es-2022-08941f,,,,
es-2022-08942b,,,,
es-2022-089432,,,,
es-2022-08944h,,,,
es-2022-089454,,,,
es-2022-08946d,,,,
es-2022-08947n,,,,
es-2022-08948y,,,,
es-2022-08949q,,,,
es-2022-089504,,,,
es-2022-08951d,,,,
es-2022-08952n,,,,
es-2022-08953y,,,,
es-2022-08954q,,,,
es-2022-08955m,,,,
es-2022-08956v,,,,
es-2022-08958w,10.1021/acs.est.2c08958,grid.419897.a,Ministry of Education of the People's Republic of China,501100002338
es-2022-08958w,10.1021/acs.est.2c08958,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-089596,,,,
es-2022-08960m,,,,
es-2022-08961v,,,,
es-2022-08962z,,,,
es-2022-08963w,,,,
es-2022-089646,,,,
es-2022-08965r,,,,
es-2022-08966j,,,,
es-2022-089678,,,,
es-2022-08968u,,,,
es-2022-08969s,,,,
es-2022-08970r,,,,
es-2022-08971j,10.1021/acs.est.2c08971,grid.452988.a,Office of Basic Energy Sciences,
es-2022-08971j,10.1021/acs.est.2c08971,grid.457810.f,Directorate for Engineering,
es-2022-08971j,10.1021/acs.est.2c08971,grid.482914.2,National Institute of Food and Agriculture,
es-2022-089728,,,,
es-2022-08973u,,,,
es-2022-08974s,,,,
es-2022-08975p,,,,
es-2022-08976e,,,,
es-2022-08977x,,,,
es-2022-08978c,10.1021/acs.est.2c08978,grid.424020.0,Ministry of Science and Technology of the People's Republic of China,501100002855
es-2022-08978c,10.1021/acs.est.2c08978,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-089799,,,,
es-2022-08980p,,,,
es-2022-08981e,,,,
es-2022-08982x,,,,
es-2022-08983c,,,,
es-2022-089849,,,,
es-2022-089855,,,,
es-2022-089867,,,,
es-2022-08987a,,,,
es-2022-089883,,,,
es-2022-08989g,,,,
es-2022-089905,,,,
es-2022-089917,,,,
es-2022-08992a,,,,
es-2022-089933,,,,
es-2022-08994g,,,,
es-2022-08995k,10.1021/acs.est.2c08995,,,
es-2022-08996t,,,,
es-2022-08997f,,,,
es-2022-08998b,,,,
es-2022-089992,,,,
es-2022-09000u,,,,
es-2022-09001s,,,,
es-2022-09002p,,,,
es-2022-09003e,,,,
es-2022-09004x,,,,
es-2022-09005c,10.1021/acs.est.2c09005,grid.424020.0,Ministry of Science and Technology of the People's Republic of China,501100002855
es-2022-090069,,,,
es-2022-090075,,,,
es-2022-090087,,,,
es-2022-09009a,,,,
es-2022-09010c,10.1021/acs.est.2c09010,grid.431093.c,National Science Foundation,
es-2022-09010c,10.1021/acs.est.2c09010,grid.457810.f,Directorate for Engineering,
es-2022-090119,,,,
es-2022-090125,,,,
es-2022-090137,10.1021/acs.est.2c09013,grid.452963.f,Office of Biological and Environmental Research,
es-2022-090137,10.1021/acs.est.2c09013,grid.457768.f,Directorate for Biological Sciences,
es-2022-090137,10.1021/acs.est.2c09013,grid.453003.1,Office of Energy Efficiency and Renewable Energy,100006134
es-2022-090137,10.1021/acs.est.2c09013,grid.457772.4,Division of Environmental Biology,
es-2022-09014a,10.1021/acs.est.2c09014,grid.457810.f,Directorate for Engineering,
es-2022-090153,,,,
es-2022-09017k,,,,
es-2022-09018t,,,,
es-2022-09019f,,,,
es-2022-09021g,,,,
es-2022-09022k,,,,
es-2022-09024f,,,,
es-2022-09025b,,,,
es-2022-090262,,,,
es-2022-09027h,,,,
es-2022-090284,,,,
es-2022-09029d,,,,
es-2022-09030b,,,,
es-2022-090312,,,,
es-2022-09032h,,,,
es-2022-09035n,,,,
es-2022-09036y,,,,
es-2022-09037q,,,,
es-2022-09039v,,,,
es-2022-09040n,,,,
es-2022-09041y,,,,
es-2022-09042q,,,,
es-2022-09044v,,,,
es-2022-09045z,,,,
es-2022-09046w,,,,
es-2022-090476,,,,
es-2022-09048r,,,,
es-2022-09049j,,,,
es-2022-09050z,10.1021/acs.est.2c09050,,,
es-2022-09051w,,,,
es-2022-090526,,,,
es-2022-09053r,,,,
es-2022-090558,,,,
es-2022-09056u,,,,
es-2022-09057s,,,,
es-2022-09058p,,,,
es-2022-09059e,,,,
es-2022-090608,,,,
es-2022-09061u,,,,
es-2022-09062s,,,,
es-2022-09063p,10.1021/acs.est.2c09063,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-09063p,10.1021/acs.est.2c09063,grid.9227.e,Chinese Academy of Sciences,501100002367
es-2022-09064e,,,,
es-2022-09065x,,,,
es-2022-09066c,,,,
es-2022-090679,,,,
es-2022-090697,,,,
es-2022-09070x,,,,
es-2022-090729,,,,
es-2022-090747,,,,
es-2022-09075a,,,,
es-2022-090763,,,,
es-2022-09077g,,,,
es-2022-09078k,,,,
es-2022-09079t,,,,
es-2022-09080a,,,,
es-2022-090813,,,,
es-2022-09083k,,,,
es-2022-09084t,,,,
es-2022-09085f,,,,
es-2022-09086b,,,,
es-2022-090872,,,,
es-2022-09088h,,,,
es-2022-090894,,,,
es-2022-09090f,10.1021/acs.est.2c09090,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-09091b,,,,
es-2022-090922,,,,
es-2022-09093h,,,,
es-2022-090944,,,,
es-2022-09095d,,,,
es-2022-09096n,,,,
es-2022-09097y,,,,
es-2022-09098q,,,,
es-2022-09099m,,,,
es-2022-091009,,,,
es-2022-091015,,,,
es-2022-091027,,,,
es-2022-09103a,,,,
es-2022-091043,,,,
es-2022-09105g,,,,
es-2022-09106k,,,,
es-2022-09107t,,,,
es-2022-09109b,,,,
es-2022-09110g,,,,
es-2022-09111k,,,,
es-2022-09112t,,,,
es-2022-09113f,,,,
es-2022-09114b,,,,
es-2022-091152,,,,
es-2022-09116h,,,,
es-2022-091174,,,,
es-2022-09118d,,,,
es-2022-09119n,10.1021/acs.est.2c09119,,,
es-2022-091202,,,,
es-2022-091224,,,,
es-2022-09123d,,,,
es-2022-09125y,,,,
es-2022-09126q,,,,
es-2022-09127m,,,,
es-2022-09128v,,,,
es-2022-09129z,,,,
es-2022-09130y,,,,
es-2022-09131q,,,,
es-2022-09132m,,,,
es-2022-09133v,,,,
es-2022-09135w,,,,
es-2022-091366,10.1021/acs.est.2c09136,grid.453365.2,Fujian Provincial Department of Science and Technology,
es-2022-091366,10.1021/acs.est.2c09136,grid.424020.0,Ministry of Science and Technology of the People's Republic of China,501100002855
es-2022-091366,10.1021/acs.est.2c09136,grid.453197.d,Youth Innovation Promotion Association,
es-2022-091366,10.1021/acs.est.2c09136,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-09137r,,,,
es-2022-09138j,,,,
es-2022-091398,,,,
es-2022-09140w,,,,
es-2022-091416,,,,
es-2022-09142r,,,,
es-2022-09143j,,,,
es-2022-091448,,,,
es-2022-09146s,,,,
es-2022-09147p,10.1021/acs.est.2c09147,grid.454741.7,Guangdong Science and Technology Department,501100007162
