Manuscript_number,DOI,funder,name,fundref
am-2023-027113,,,,
an-2022-05406f,10.1021/acsanm.2c05406,grid.417969.4,Indian Institute of Technology Madras,
an-2022-05406f,10.1021/acsanm.2c05406,grid.418654.a,Indian Space Research Organisation,
an-2022-05522w,10.1021/acsanm.2c05522,grid.419696.5,National Natural Science Foundation of China,501100001809
an-2023-008522,,,,
an-2023-00853h,,,,
ao-2023-00271r,10.1021/acsomega.3c00271,,,
ao-2023-003892,,,,
ao-2023-00441z,10.1021/acsomega.3c00441,,,
ao-2023-01260y,,,,
ao-2023-01261q,,,,
ao-2023-01262m,,,,
ao-2023-01263v,,,,
cs-2023-001132,10.1021/acscatal.3c00113,grid.419696.5,National Natural Science Foundation of China,501100001809
cs-2023-00275m,10.1021/acscatal.3c00275,,,
cs-2023-00878u,,,,
cs-2023-00879s,,,,
cs-2023-00880r,,,,
ef-2023-00630s,,,,
es-2021-04374h,10.1021/acs.est.1c04374,grid.424020.0,Ministry of Science and Technology of the People's Republic of China,501100002855
es-2021-04374h,10.1021/acs.est.1c04374,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2021-04374h,10.1021/acs.est.1c04374,grid.457810.f,Directorate for Engineering,
es-2022-00299t,10.1021/acs.est.2c00299,,,
es-2022-016906,,,,
es-2022-01854m,10.1021/acs.est.2c01854,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-019526,,,,
es-2022-02220j,10.1021/acs.est.2c02220,,,
es-2022-02312s,10.1021/acs.est.2c02312,grid.424150.6,Deutsche Forschungsgemeinschaft,
es-2022-02351n,,,,
es-2022-024813,10.1021/acs.est.2c02481,grid.418309.7,Bill & Melinda Gates Foundation,
es-2022-024813,10.1021/acs.est.2c02481,grid.453872.f,American Water Works Association,100005408
es-2022-02658f,10.1021/acs.est.2c02658,grid.187073.a,Argonne National Laboratory,
es-2022-02658f,10.1021/acs.est.2c02658,grid.457768.f,Directorate for Biological Sciences,
es-2022-02658f,10.1021/acs.est.2c02658,grid.4444.0,French National Centre for Scientific Research,
es-2022-02658f,10.1021/acs.est.2c02658,grid.148313.c,Los Alamos National Laboratory,100008902
es-2022-02658f,10.1021/acs.est.2c02658,grid.417851.e,Fermilab,
es-2022-02658f,10.1021/acs.est.2c02658,grid.453216.7,Office of Science,100006132
es-2022-02658f,10.1021/acs.est.2c02658,grid.202665.5,Brookhaven National Laboratory,
es-2022-02751t,10.1021/acs.est.2c02751,grid.452912.9,Natural Sciences and Engineering Research Council,501100000038
es-2022-02751t,10.1021/acs.est.2c02751,grid.439998.6,Canada Foundation for Innovation,501100000196
es-2022-028454,,,,
es-2022-03027m,10.1021/acs.est.2c03027,,,
es-2022-03491f,,,,
es-2022-03596z,10.1021/acs.est.2c03596,grid.424020.0,Ministry of Science and Technology of the People's Republic of China,501100002855
es-2022-03596z,10.1021/acs.est.2c03596,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-03596z,10.1021/acs.est.2c03596,grid.452927.f,Science and Technology Commission of Shanghai Municipality,
es-2022-03633j,10.1021/acs.est.2c03633,grid.187073.a,Argonne National Laboratory,
es-2022-03633j,10.1021/acs.est.2c03633,grid.135519.a,Oak Ridge National Laboratory,
es-2022-03633j,10.1021/acs.est.2c03633,grid.85084.31,United States Department of Energy,100000015
es-2022-03633j,10.1021/acs.est.2c03633,grid.452963.f,Office of Biological and Environmental Research,
es-2022-03633j,10.1021/acs.est.2c03633,grid.453216.7,Office of Science,100006132
es-2022-03633j,10.1021/acs.est.2c03633,grid.482914.2,National Institute of Food and Agriculture,
es-2022-03633j,10.1021/acs.est.2c03633,grid.27873.39,Battelle,
es-2022-036469,10.1021/acs.est.2c03646,grid.418698.a,Environmental Protection Agency,100000139
es-2022-036475,10.1021/acs.est.2c03647,grid.419897.a,Ministry of Education of the People's Republic of China,501100002338
es-2022-036475,10.1021/acs.est.2c03647,grid.457400.2,Canada Excellence Research Chairs,
es-2022-036475,10.1021/acs.est.2c03647,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-036475,10.1021/acs.est.2c03647,grid.452932.b,State Administration of Foreign Experts Affairs,501100003512
es-2022-038927,,,,
es-2022-03964s,10.1021/acs.est.2c03964,grid.457916.8,"Directorate for Social, Behavioral & Economic Sciences",
es-2022-03998n,10.1021/acs.est.2c03998,grid.436103.3,Ministry of Education Youth and Sports,
es-2022-03998n,10.1021/acs.est.2c03998,grid.270680.b,European Commission,501100000780
es-2022-04080f,10.1021/acs.est.2c04080,,,
es-2022-041266,10.1021/acs.est.2c04126,grid.23618.3e,Fisheries and Oceans Canada,
es-2022-041519,10.1021/acs.est.2c04151,,,
es-2022-04185z,10.1021/acs.est.2c04185,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-04246k,10.1021/acs.est.2c04246,grid.419357.d,National Renewable Energy Laboratory,
es-2022-04246k,10.1021/acs.est.2c04246,grid.85084.31,United States Department of Energy,100000015
es-2022-04277r,10.1021/acs.est.2c04277,,,
es-2022-04302z,10.1021/acs.est.2c04302,grid.457799.1,Directorate for STEM Education,
es-2022-04321e,10.1021/acs.est.2c04321,grid.418698.a,Environmental Protection Agency,100000139
es-2022-04347d,10.1021/acs.est.2c04347,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-04388a,10.1021/acs.est.2c04388,grid.453285.d,Water Research Foundation,
es-2022-04388a,10.1021/acs.est.2c04388,grid.453006.4,Alfred P. Sloan Foundation,
es-2022-04398f,10.1021/acs.est.2c04398,grid.4711.3,Spanish National Research Council,
es-2022-04398f,10.1021/acs.est.2c04398,grid.453034.5,China Postdoctoral Science Foundation,501100002858
es-2022-04398f,10.1021/acs.est.2c04398,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-04398f,10.1021/acs.est.2c04398,grid.9227.e,Chinese Academy of Sciences,501100002367
